category,object,query,type,assigned_to
gaming_audio,controller,controller unboxing,object,member_3
gaming_audio,controller,controller review,object,member_3
gaming_audio,controller,controller travel setup,object,member_3
gaming_audio,controller,controller bag setup,object,member_3
gaming_audio,controller,how to protect controller,object,member_3
gaming_audio,controller,controller damaged in bag,object,member_3
gaming_audio,keyboard,keyboard unboxing,object,member_3
gaming_audio,keyboard,keyboard review,object,member_3
gaming_audio,keyboard,keyboard travel setup,object,member_3
gaming_audio,keyboard,keyboard bag setup,object,member_3
gaming_audio,keyboard,how to protect keyboard,object,member_3
gaming_audio,keyboard,keyboard damaged in bag,object,member_3
gaming_audio,audio gear,audio gear unboxing,object,member_3
gaming_audio,audio gear,audio gear review,object,member_3
gaming_audio,audio gear,audio gear travel setup,object,member_3
gaming_audio,audio gear,audio gear bag setup,object,member_3
gaming_audio,audio gear,how to protect audio gear,object,member_3
gaming_audio,audio gear,audio gear damaged in bag,object,member_3
gaming_audio,gaming accessories,gaming accessories unboxing,object,member_3
gaming_audio,gaming accessories,gaming accessories review,object,member_3
gaming_audio,gaming accessories,gaming accessories travel setup,object,member_3
gaming_audio,gaming accessories,gaming accessories bag setup,object,member_3
gaming_audio,gaming accessories,how to protect gaming accessories,object,member_3
gaming_audio,gaming accessories,gaming accessories damaged in bag,object,member_3
