category,object,query,type,assigned_to
digital_accessories,cables,cables unboxing,object,member_2
digital_accessories,cables,cables review,object,member_2
digital_accessories,cables,cables travel setup,object,member_2
digital_accessories,cables,cables bag setup,object,member_2
digital_accessories,cables,how to protect cables,object,member_2
digital_accessories,cables,cables damaged in bag,object,member_2
digital_accessories,charger,charger unboxing,object,member_2
digital_accessories,charger,charger review,object,member_2
digital_accessories,charger,charger travel setup,object,member_2
digital_accessories,charger,charger bag setup,object,member_2
digital_accessories,charger,how to protect charger,object,member_2
digital_accessories,charger,charger damaged in bag,object,member_2
digital_accessories,power bank,power bank unboxing,object,member_2
digital_accessories,power bank,power bank review,object,member_2
digital_accessories,power bank,power bank travel setup,object,member_2
digital_accessories,power bank,power bank bag setup,object,member_2
digital_accessories,power bank,how to protect power bank,object,member_2
digital_accessories,power bank,power bank damaged in bag,object,member_2
digital_accessories,ssd,ssd unboxing,object,member_2
digital_accessories,ssd,ssd review,object,member_2
digital_accessories,ssd,ssd travel setup,object,member_2
digital_accessories,ssd,ssd bag setup,object,member_2
digital_accessories,ssd,how to protect ssd,object,member_2
digital_accessories,ssd,ssd damaged in bag,object,member_2
digital_accessories,hard drive,hard drive unboxing,object,member_2
digital_accessories,hard drive,hard drive review,object,member_2
digital_accessories,hard drive,hard drive travel setup,object,member_2
digital_accessories,hard drive,hard drive bag setup,object,member_2
digital_accessories,hard drive,how to protect hard drive,object,member_2
digital_accessories,hard drive,hard drive damaged in bag,object,member_2
