category,object,query,query_type,assigned_to
camera_drone,drone battery,best way to carry drone battery,object_problem,member_2
camera_drone,drone,no good case for drone,object_problem,member_2
camera_drone,drone,drone damaged in bag,object_problem,member_2
camera_drone,drone battery,how to store drone battery,object_problem,member_2
camera_drone,gopro,gopro damaged in bag,object_problem,member_2
camera_drone,drone battery,drone battery easy to break,object_problem,member_2
camera_drone,camera,camera scratched easily,object_problem,member_2
camera_drone,camera lens,safe storage for camera lens,object_problem,member_2
camera_drone,camera,camera damaged in bag,object_problem,member_2
camera_drone,camera,safe storage for camera,object_problem,member_2
camera_drone,camera,camera needs a case,object_problem,member_2
camera_drone,gopro,how to store gopro,object_problem,member_2
camera_drone,gopro,gopro easy to break,object_problem,member_2
camera_drone,drone,best way to carry drone,object_problem,member_2
camera_drone,camera lens,camera lens damaged in bag,object_problem,member_2
camera_drone,camera lens,camera lens scratched easily,object_problem,member_2
camera_drone,drone battery,drone battery needs a case,object_problem,member_2
camera_drone,camera lens,camera lens needs a case,object_problem,member_2
camera_drone,camera lens,how to protect camera lens,object_problem,member_2
camera_drone,camera lens,no good case for camera lens,object_problem,member_2
camera_drone,gopro,gopro scratched easily,object_problem,member_2
camera_drone,gopro,how to protect gopro,object_problem,member_2
camera_drone,camera,how to protect camera,object_problem,member_2
camera_drone,gopro,safe storage for gopro,object_problem,member_2
camera_drone,drone battery,no good case for drone battery,object_problem,member_2
camera_drone,camera,camera easy to break,object_problem,member_2
camera_drone,camera lens,best way to carry camera lens,object_problem,member_2
camera_drone,gopro,gopro needs a case,object_problem,member_2
camera_drone,camera,how to store camera,object_problem,member_2
camera_drone,drone battery,drone battery scratched easily,object_problem,member_2
camera_drone,drone,drone scratched easily,object_problem,member_2
camera_drone,camera,best way to carry camera,object_problem,member_2
camera_drone,gopro,no good case for gopro,object_problem,member_2
camera_drone,drone,drone needs a case,object_problem,member_2
camera_drone,drone battery,how to protect drone battery,object_problem,member_2
camera_drone,camera lens,how to store camera lens,object_problem,member_2
camera_drone,drone,drone easy to break,object_problem,member_2
camera_drone,drone,how to protect drone,object_problem,member_2
camera_drone,drone battery,drone battery damaged in bag,object_problem,member_2
camera_drone,drone,safe storage for drone,object_problem,member_2
camera_drone,camera,no good case for camera,object_problem,member_2
camera_drone,camera lens,camera lens easy to break,object_problem,member_2
camera_drone,gopro,best way to carry gopro,object_problem,member_2
camera_drone,drone battery,safe storage for drone battery,object_problem,member_2
camera_drone,camera,camera travel setup,object_scenario,member_2
camera_drone,camera,camera daily carry,object_scenario,member_2
camera_drone,drone,drone daily carry,object_scenario,member_2
camera_drone,camera lens,camera lens daily carry,object_scenario,member_2
camera_drone,camera lens,camera lens travel setup,object_scenario,member_2
camera_drone,gopro,gopro accessories setup,object_scenario,member_2
camera_drone,drone battery,drone battery daily carry,object_scenario,member_2
camera_drone,drone battery,drone battery bag setup,object_scenario,member_2
camera_drone,gopro,gopro bag setup,object_scenario,member_2
camera_drone,camera,camera accessories setup,object_scenario,member_2
camera_drone,drone,drone accessories setup,object_scenario,member_2
camera_drone,drone battery,drone battery accessories setup,object_scenario,member_2
camera_drone,camera lens,camera lens bag setup,object_scenario,member_2
camera_drone,gopro,gopro daily carry,object_scenario,member_2
camera_drone,drone,drone bag setup,object_scenario,member_2
camera_drone,gopro,gopro travel setup,object_scenario,member_2
camera_drone,drone battery,drone battery travel setup,object_scenario,member_2
camera_drone,camera lens,camera lens accessories setup,object_scenario,member_2
