category,object,query,query_type,assigned_to
valuable_items,watches,watches scratched easily,object_problem,member_4
gaming,keyboard,keyboard scratched easily,object_problem,member_4
valuable_items,collectibles,how to store collectibles,object_problem,member_4
valuable_items,figurines,no good case for figurines,object_problem,member_4
gaming,switch,how to protect switch,object_problem,member_4
gaming,keyboard,keyboard damaged in bag,object_problem,member_4
valuable_items,watches,safe storage for watches,object_problem,member_4
valuable_items,figurines,best way to carry figurines,object_problem,member_4
gaming,steam deck,how to store steam deck,object_problem,member_4
valuable_items,watches,watches damaged in bag,object_problem,member_4
valuable_items,makeup,how to protect makeup,object_problem,member_4
gaming,gaming gear,gaming gear damaged in bag,object_problem,member_4
valuable_items,collectibles,best way to carry collectibles,object_problem,member_4
valuable_items,makeup,makeup easy to break,object_problem,member_4
gaming,steam deck,safe storage for steam deck,object_problem,member_4
gaming,switch,switch scratched easily,object_problem,member_4
gaming,keyboard,how to protect keyboard,object_problem,member_4
gaming,gaming gear,how to store gaming gear,object_problem,member_4
valuable_items,jewelry,jewelry scratched easily,object_problem,member_4
valuable_items,collectibles,collectibles damaged in bag,object_problem,member_4
valuable_items,cards,how to store cards,object_problem,member_4
valuable_items,figurines,figurines needs a case,object_problem,member_4
valuable_items,cards,cards scratched easily,object_problem,member_4
gaming,gaming gear,safe storage for gaming gear,object_problem,member_4
gaming,gaming gear,gaming gear needs a case,object_problem,member_4
gaming,steam deck,best way to carry steam deck,object_problem,member_4
valuable_items,figurines,safe storage for figurines,object_problem,member_4
valuable_items,figurines,figurines scratched easily,object_problem,member_4
gaming,gaming gear,gaming gear scratched easily,object_problem,member_4
valuable_items,cards,safe storage for cards,object_problem,member_4
gaming,steam deck,how to protect steam deck,object_problem,member_4
valuable_items,figurines,figurines easy to break,object_problem,member_4
gaming,switch,switch easy to break,object_problem,member_4
valuable_items,watches,watches needs a case,object_problem,member_4
valuable_items,jewelry,best way to carry jewelry,object_problem,member_4
gaming,steam deck,no good case for steam deck,object_problem,member_4
valuable_items,jewelry,how to protect jewelry,object_problem,member_4
gaming,gaming gear,no good case for gaming gear,object_problem,member_4
gaming,switch,no good case for switch,object_problem,member_4
valuable_items,cards,cards needs a case,object_problem,member_4
gaming,gaming gear,how to protect gaming gear,object_problem,member_4
gaming,keyboard,how to store keyboard,object_problem,member_4
valuable_items,makeup,safe storage for makeup,object_problem,member_4
gaming,keyboard,no good case for keyboard,object_problem,member_4
valuable_items,jewelry,jewelry damaged in bag,object_problem,member_4
gaming,steam deck,steam deck scratched easily,object_problem,member_4
gaming,keyboard,keyboard needs a case,object_problem,member_4
gaming,switch,safe storage for switch,object_problem,member_4
gaming,steam deck,steam deck damaged in bag,object_problem,member_4
valuable_items,watches,best way to carry watches,object_problem,member_4
gaming,switch,switch damaged in bag,object_problem,member_4
valuable_items,makeup,makeup needs a case,object_problem,member_4
gaming,switch,switch needs a case,object_problem,member_4
valuable_items,figurines,how to store figurines,object_problem,member_4
valuable_items,watches,how to protect watches,object_problem,member_4
valuable_items,cards,cards damaged in bag,object_problem,member_4
valuable_items,makeup,makeup damaged in bag,object_problem,member_4
valuable_items,collectibles,how to protect collectibles,object_problem,member_4
valuable_items,watches,no good case for watches,object_problem,member_4
valuable_items,jewelry,jewelry easy to break,object_problem,member_4
valuable_items,watches,watches accessories setup,object_scenario,member_4
valuable_items,watches,watches travel setup,object_scenario,member_4
gaming,gaming gear,gaming gear accessories setup,object_scenario,member_4
valuable_items,collectibles,collectibles daily carry,object_scenario,member_4
gaming,steam deck,steam deck travel setup,object_scenario,member_4
gaming,gaming gear,gaming gear travel setup,object_scenario,member_4
valuable_items,makeup,makeup bag setup,object_scenario,member_4
valuable_items,collectibles,collectibles accessories setup,object_scenario,member_4
valuable_items,makeup,makeup accessories setup,object_scenario,member_4
gaming,steam deck,steam deck daily carry,object_scenario,member_4
valuable_items,collectibles,collectibles bag setup,object_scenario,member_4
gaming,keyboard,keyboard bag setup,object_scenario,member_4
gaming,gaming gear,gaming gear bag setup,object_scenario,member_4
valuable_items,figurines,figurines accessories setup,object_scenario,member_4
valuable_items,cards,cards daily carry,object_scenario,member_4
gaming,keyboard,keyboard travel setup,object_scenario,member_4
valuable_items,watches,watches bag setup,object_scenario,member_4
valuable_items,collectibles,collectibles travel setup,object_scenario,member_4
gaming,switch,switch travel setup,object_scenario,member_4
valuable_items,cards,cards bag setup,object_scenario,member_4
gaming,steam deck,steam deck bag setup,object_scenario,member_4
gaming,keyboard,keyboard accessories setup,object_scenario,member_4
gaming,switch,switch bag setup,object_scenario,member_4
valuable_items,figurines,figurines bag setup,object_scenario,member_4
valuable_items,jewelry,jewelry bag setup,object_scenario,member_4
gaming,switch,switch daily carry,object_scenario,member_4
valuable_items,figurines,figurines daily carry,object_scenario,member_4
valuable_items,makeup,makeup travel setup,object_scenario,member_4
gaming,switch,switch accessories setup,object_scenario,member_4
valuable_items,cards,cards accessories setup,object_scenario,member_4
valuable_items,jewelry,jewelry accessories setup,object_scenario,member_4
valuable_items,cards,cards travel setup,object_scenario,member_4
gaming,keyboard,keyboard daily carry,object_scenario,member_4
valuable_items,jewelry,jewelry daily carry,object_scenario,member_4
valuable_items,watches,watches daily carry,object_scenario,member_4
valuable_items,jewelry,jewelry travel setup,object_scenario,member_4
gaming,steam deck,steam deck accessories setup,object_scenario,member_4
gaming,gaming gear,gaming gear daily carry,object_scenario,member_4
valuable_items,figurines,figurines travel setup,object_scenario,member_4
valuable_items,makeup,makeup daily carry,object_scenario,member_4
